seccion,tipo_eleccion,distrito,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND,total_pvem_pt_morena,total_pvem_morena,total_pan_pri,votos_validos,cand_no_reg,votos_nulos,total_votos,lista_nominal,participacion
0000,ayuntamiento,,,0.0,1.0,0.0,0.0,0.0,4.0,0.0,,4.0,,5,0,0,5,5,1.0
0046,ayuntamiento,,,9.0,143.0,17.0,11.0,12.0,319.0,70.0,,351.0,,596,0,44,640,1140,0.5614035087719298
0047,ayuntamiento,,,20.0,615.0,66.0,29.0,43.0,1403.0,169.0,,1496.0,,2372,0,180,2552,5382,0.47417316982534374
0048,ayuntamiento,,,8.0,154.0,32.0,26.0,23.0,586.0,60.0,,633.0,,904,4,47,955,1797,0.5314412910406232
0049,ayuntamiento,,,8.0,133.0,16.0,13.0,12.0,337.0,50.0,,361.0,,577,0,49,626,1037,0.6036644165863067
0050,ayuntamiento,,,20.0,200.0,29.0,14.0,31.0,478.0,71.0,,522.0,,858,0,49,907,1582,0.5733249051833123
0051,ayuntamiento,,,5.0,187.0,21.0,15.0,20.0,468.0,51.0,,514.0,,792,0,54,846,1556,0.5437017994858612
0052,ayuntamiento,,,8.0,201.0,22.0,7.0,26.0,524.0,36.0,,564.0,,842,5,43,890,1613,0.5517668939863608
0053,ayuntamiento,,,22.0,277.0,27.0,17.0,38.0,500.0,78.0,,531.0,,963,0,43,1006,1978,0.5085945399393327
0054,ayuntamiento,,,13.0,152.0,20.0,15.0,19.0,347.0,24.0,,376.0,,599,2,20,621,1198,0.5183639398998331
0055,ayuntamiento,,,18.0,494.0,53.0,23.0,59.0,1215.0,152.0,,1312.0,,2058,0,87,2145,3836,0.5591762252346194
0056,ayuntamiento,,,7.0,110.0,23.0,9.0,16.0,316.0,48.0,,353.0,,543,0,68,611,1055,0.5791469194312796
0057,ayuntamiento,,,5.0,84.0,4.0,4.0,10.0,160.0,23.0,,168.0,,294,0,22,316,572,0.5524475524475524
0058,ayuntamiento,,,7.0,126.0,17.0,3.0,19.0,220.0,42.0,,242.0,,439,0,17,456,707,0.6449787835926449
0059,ayuntamiento,,,11.0,161.0,13.0,6.0,24.0,275.0,46.0,,297.0,,545,0,14,559,910,0.6142857142857143
0060,ayuntamiento,,,6.0,170.0,10.0,11.0,23.0,337.0,36.0,,359.0,,605,0,21,626,962,0.6507276507276507
0061,ayuntamiento,,,1.0,109.0,4.0,4.0,11.0,140.0,41.0,,151.0,,317,0,13,330,609,0.541871921182266
0062,ayuntamiento,,,10.0,139.0,12.0,9.0,12.0,250.0,39.0,,269.0,,478,0,22,500,844,0.5924170616113744
0063,ayuntamiento,,,14.0,413.0,43.0,15.0,43.0,745.0,114.0,,798.0,,1397,2,68,1467,2614,0.5612088752869167
0064,ayuntamiento,,,6.0,208.0,27.0,12.0,37.0,368.0,50.0,,411.0,,724,0,47,771,1319,0.5845337376800607
0065,ayuntamiento,,,12.0,212.0,14.0,12.0,21.0,226.0,43.0,,244.0,,544,1,28,573,963,0.5950155763239875
0066,ayuntamiento,,,8.0,153.0,10.0,4.0,22.0,155.0,32.0,,167.0,,386,0,13,399,669,0.5964125560538116
0067,ayuntamiento,,,5.0,141.0,8.0,7.0,11.0,142.0,12.0,,157.0,,333,0,11,344,589,0.5840407470288624
0068,ayuntamiento,,,11.0,97.0,7.0,5.0,11.0,201.0,35.0,,213.0,,372,0,19,391,651,0.6006144393241167
0069,ayuntamiento,,,8.0,117.0,8.0,1.0,12.0,184.0,29.0,,198.0,,365,0,20,385,619,0.6219709208400647
0070,ayuntamiento,,,21.0,331.0,21.0,12.0,37.0,593.0,72.0,,624.0,,1097,2,35,1134,1847,0.6139685977260422
0071,ayuntamiento,,,30.0,751.0,63.0,60.0,85.0,1267.0,134.0,,1358.0,,2418,4,112,2534,4619,0.548603593851483
0072,ayuntamiento,,,14.0,262.0,23.0,22.0,22.0,579.0,65.0,,612.0,,997,0,47,1044,1118,0.9338103756708408
0073,ayuntamiento,,,11.0,200.0,15.0,9.0,11.0,311.0,37.0,,329.0,,597,0,32,629,817,0.769889840881273
0074,ayuntamiento,,,8.0,168.0,11.0,6.0,19.0,264.0,22.0,,282.0,,505,9,22,536,663,0.808446455505279
0075,ayuntamiento,,,6.0,219.0,16.0,11.0,23.0,325.0,47.0,,362.0,,668,4,21,693,1194,0.5804020100502513
0076,ayuntamiento,,,7.0,130.0,18.0,6.0,15.0,237.0,41.0,,261.0,,460,0,38,498,778,0.6401028277634961
0077,ayuntamiento,,,12.0,187.0,8.0,12.0,12.0,335.0,32.0,,357.0,,612,0,21,633,971,0.6519052523171988
0078,ayuntamiento,,,9.0,238.0,21.0,7.0,21.0,310.0,31.0,,334.0,,640,0,11,651,939,0.6932907348242812
0079,ayuntamiento,,,6.0,160.0,5.0,8.0,23.0,341.0,52.0,,346.0,,595,2,21,618,992,0.6229838709677419
0080,ayuntamiento,,,1.0,43.0,8.0,5.0,10.0,165.0,32.0,,179.0,,270,0,17,287,652,0.4401840490797546
0081,ayuntamiento,,,12.0,284.0,16.0,30.0,18.0,588.0,75.0,,622.0,,1041,20,23,1084,1917,0.5654668753260302
0082,ayuntamiento,,,2.0,162.0,22.0,6.0,21.0,318.0,41.0,,343.0,,575,0,27,602,996,0.6044176706827309
0083,ayuntamiento,,,17.0,177.0,21.0,12.0,32.0,405.0,56.0,,441.0,,735,0,37,772,1165,0.6626609442060086
0084,ayuntamiento,,,17.0,214.0,17.0,21.0,36.0,524.0,61.0,,556.0,,905,1,26,932,1562,0.5966709346991037
0085,ayuntamiento,,,10.0,219.0,13.0,10.0,52.0,429.0,40.0,,455.0,,786,1,36,823,1313,0.6268088347296268
0086,ayuntamiento,,,28.0,442.0,40.0,36.0,38.0,1076.0,110.0,,1130.0,,1784,0,73,1857,3262,0.5692826486817903
0087,ayuntamiento,,,11.0,243.0,26.0,18.0,21.0,706.0,74.0,,756.0,,1123,0,60,1183,2324,0.5090361445783133
0088,ayuntamiento,,,11.0,287.0,23.0,16.0,37.0,659.0,83.0,,692.0,,1126,0,40,1166,1932,0.6035196687370601
0089,ayuntamiento,,,16.0,195.0,32.0,18.0,19.0,631.0,69.0,,683.0,,1000,1,57,1058,2003,0.528207688467299
0090,ayuntamiento,,,5.0,266.0,23.0,20.0,7.0,473.0,2.0,,506.0,,806,0,46,852,1334,0.638680659670165
0091,ayuntamiento,,,3.0,335.0,14.0,4.0,10.0,374.0,5.0,,393.0,,750,0,54,804,1367,0.5881492318946598
0092,ayuntamiento,,,8.0,204.0,39.0,19.0,15.0,448.0,3.0,,506.0,,755,0,62,817,1572,0.5197201017811705
0093,ayuntamiento,,,9.0,209.0,26.0,15.0,11.0,409.0,2.0,,446.0,,692,0,29,721,1174,0.6141396933560477
0094,ayuntamiento,,,7.0,130.0,17.0,3.0,5.0,241.0,2.0,,265.0,,412,0,24,436,770,0.5662337662337662
0095,ayuntamiento,,,6.0,242.0,20.0,6.0,8.0,507.0,5.0,,529.0,,796,0,59,855,1503,0.5688622754491018
0096,ayuntamiento,,,22.0,223.0,10.0,7.0,4.0,101.0,93.0,,120.0,,469,0,17,486,914,0.5317286652078774
0097,ayuntamiento,,,12.0,289.0,14.0,13.0,2.0,259.0,5.0,,278.0,,599,0,49,648,1191,0.5440806045340051
0098,ayuntamiento,,,4.0,121.0,21.0,13.0,6.0,375.0,2.0,,407.0,,553,0,76,629,1628,0.38636363636363635
0099,ayuntamiento,,,21.0,239.0,25.0,14.0,12.0,412.0,4.0,,449.0,,739,0,61,800,1849,0.43266630611141155
0100,ayuntamiento,,,11.0,329.0,30.0,9.0,10.0,531.0,7.0,,585.0,,951,0,91,1042,2130,0.4892018779342723
0101,ayuntamiento,,,13.0,156.0,28.0,22.0,8.0,608.0,7.0,,657.0,,863,0,81,944,1625,0.5809230769230769
0102,ayuntamiento,,,3.0,53.0,22.0,10.0,5.0,421.0,4.0,,456.0,,531,0,18,549,938,0.5852878464818764
0103,ayuntamiento,,,12.0,368.0,16.0,14.0,12.0,441.0,12.0,,457.0,,875,0,38,913,1763,0.5178672716959728
0104,ayuntamiento,,,6.0,186.0,13.0,4.0,7.0,318.0,1.0,,332.0,,536,0,37,573,1025,0.5590243902439025
0105,ayuntamiento,,,31.0,323.0,20.0,15.0,13.0,263.0,2.0,,287.0,,671,0,91,762,1692,0.450354609929078
0106,ayuntamiento,,,19.0,174.0,20.0,14.0,12.0,384.0,5.0,,407.0,,631,0,34,665,1226,0.5424143556280587
0107,ayuntamiento,,,7.0,108.0,28.0,3.0,11.0,550.0,3.0,,580.0,,712,0,61,773,1354,0.5709010339734121
0108,ayuntamiento,,,16.0,122.0,10.0,5.0,1.0,179.0,2.0,,190.0,,336,0,31,367,702,0.5227920227920227
0109,ayuntamiento,,,2.0,166.0,6.0,10.0,5.0,363.0,2.0,,377.0,,562,0,46,608,1109,0.5482416591523895
0110,ayuntamiento,,,17.0,147.0,57.0,41.0,26.0,658.0,10.0,,733.0,,974,0,107,1081,2563,0.42177136168552476
0111,ayuntamiento,,,1.0,92.0,9.0,9.0,4.0,362.0,1.0,,373.0,,480,0,20,500,768,0.6510416666666666
0112,ayuntamiento,,,3.0,58.0,3.0,11.0,6.0,546.0,4.0,,564.0,,646,0,23,669,1082,0.6182994454713494
0113,ayuntamiento,,,0.0,115.0,9.0,10.0,6.0,318.0,4.0,,338.0,,473,0,24,497,855,0.5812865497076023
0114,ayuntamiento,,,9.0,154.0,16.0,24.0,6.0,297.0,6.0,,321.0,,520,0,28,548,972,0.5637860082304527
0115,ayuntamiento,,,5.0,88.0,9.0,15.0,4.0,315.0,2.0,,348.0,,462,0,16,478,913,0.5235487404162102
0116,ayuntamiento,,,5.0,113.0,19.0,6.0,7.0,224.0,4.0,,253.0,,388,0,32,420,758,0.554089709762533
0117,ayuntamiento,,,2.0,63.0,11.0,2.0,3.0,233.0,4.0,,246.0,,320,4,15,339,466,0.7274678111587983
