seccion,tipo_eleccion,distrito,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND,total_pvem_pt_morena,total_pvem_morena,total_pan_pri,votos_validos,cand_no_reg,votos_nulos,total_votos,lista_nominal,participacion
0000,diputaciones,DTO-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,1,0,0,1,1,1.0
0000,diputaciones,DTO-03,0.0,0.0,1.0,0.0,0.0,0.0,4.0,,,,,5,0,0,5,5,1.0
0046,diputaciones,DTO-02,10.0,13.0,79.0,46.0,16.0,24.0,385.0,,,,,573,0,56,629,1140,0.5517543859649123
0047,diputaciones,DTO-02,18.0,37.0,388.0,153.0,59.0,96.0,1604.0,,,,,2355,6,208,2569,5382,0.4773318468970643
0048,diputaciones,DTO-03,0.0,13.0,142.0,55.0,29.0,26.0,626.0,,,,,891,0,63,954,1797,0.5308848080133556
0049,diputaciones,DTO-03,0.0,18.0,99.0,39.0,13.0,19.0,384.0,,,,,572,0,52,624,1037,0.6017357762777242
0050,diputaciones,DTO-03,2.0,27.0,153.0,57.0,30.0,43.0,531.0,,,,,843,1,64,908,1582,0.5739570164348925
0051,diputaciones,DTO-02,5.0,9.0,78.0,130.0,23.0,34.0,487.0,,,,,766,1,77,844,1556,0.5424164524421594
0052,diputaciones,DTO-02,7.0,15.0,99.0,45.0,18.0,40.0,610.0,,,,,834,2,51,887,1613,0.5499070055796652
0053,diputaciones,DTO-02,14.0,24.0,100.0,52.0,26.0,48.0,715.0,,,,,979,0,42,1021,1978,0.5161779575328614
0054,diputaciones,DTO-02,4.0,18.0,61.0,45.0,18.0,29.0,417.0,,,,,592,1,28,621,1198,0.5183639398998331
0055,diputaciones,DTO-03,14.0,50.0,378.0,133.0,38.0,101.0,1303.0,,,,,2017,2,104,2123,3836,0.5534410844629822
0056,diputaciones,DTO-03,1.0,8.0,89.0,51.0,17.0,19.0,331.0,,,,,516,0,96,612,1055,0.5800947867298578
