seccion,tipo_eleccion,distrito,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND,total_pvem_pt_morena,total_pvem_morena,total_pan_pri,votos_validos,cand_no_reg,votos_nulos,total_votos,lista_nominal,participacion
0000,gubernatura,DT-02,1.0,1.0,1.0,0.0,0.0,0.0,6.0,,6.0,,2.0,9,0,0,9,9,1.0
0046,gubernatura,DT-02,3.0,7.0,57.0,26.0,20.0,16.0,372.0,,457.0,,10.0,540,0,14,554,1140,0.48596491228070177
0047,gubernatura,DT-02,8.0,36.0,358.0,120.0,52.0,72.0,1729.0,,1974.0,,45.0,2449,0,125,2574,5382,0.4782608695652174
0048,gubernatura,DT-03,11.0,11.0,69.0,42.0,25.0,22.0,703.0,,812.0,,23.0,926,0,30,956,1797,0.531997774067891
0049,gubernatura,DT-03,5.0,17.0,47.0,19.0,17.0,29.0,435.0,,509.0,,22.0,607,0,18,625,1037,0.6027000964320154
0050,gubernatura,DT-03,8.0,29.0,55.0,45.0,24.0,31.0,635.0,,736.0,,38.0,860,0,33,893,1582,0.5644753476611883
0051,gubernatura,DT-02,5.0,10.0,68.0,37.0,18.0,26.0,590.0,,714.0,,15.0,823,0,19,842,1556,0.5411311053984575
0052,gubernatura,DT-02,4.0,10.0,96.0,32.0,222.0,26.0,433.0,,724.0,,14.0,860,0,10,870,1613,0.5393676379417235
0053,gubernatura,DT-02,8.0,27.0,84.0,32.0,37.0,42.0,734.0,,824.0,,35.0,985,0,23,1008,1978,0.5096056622851365
0054,gubernatura,DT-02,7.0,14.0,39.0,23.0,25.0,18.0,457.0,,534.0,,21.0,612,1,8,621,1198,0.5183639398998331
0055,gubernatura,DT-03,33.0,30.0,193.0,89.0,64.0,113.0,1467.0,,1700.0,,67.0,2073,1,55,2129,3836,0.5550052137643379
0056,gubernatura,DT-03,4.0,10.0,47.0,31.0,16.0,22.0,439.0,,515.0,,14.0,598,0,13,611,1055,0.5791469194312796
0057,gubernatura,DT-03,6.0,10.0,36.0,5.0,8.0,10.0,209.0,,236.0,,18.0,300,0,13,313,572,0.5472027972027972
0058,gubernatura,DT-02,14.0,10.0,44.0,23.0,8.0,19.0,309.0,,355.0,,24.0,442,0,14,456,707,0.6449787835926449
0059,gubernatura,DT-02,16.0,16.0,54.0,20.0,13.0,31.0,378.0,,432.0,,34.0,551,0,8,559,910,0.6142857142857143
0060,gubernatura,DT-02,2.0,6.0,59.0,21.0,21.0,23.0,441.0,,511.0,,8.0,601,1,13,615,962,0.6392931392931392
0061,gubernatura,DT-03,12.0,2.0,23.0,6.0,6.0,17.0,237.0,,270.0,,15.0,325,0,6,331,609,0.5435139573070608
0062,gubernatura,DT-03,5.0,16.0,49.0,27.0,19.0,14.0,327.0,,401.0,,23.0,487,0,14,501,844,0.5936018957345972
0063,gubernatura,DT-03,16.0,22.0,147.0,52.0,41.0,60.0,1029.0,,1177.0,,38.0,1422,1,33,1456,2614,0.5570007651109411
0064,gubernatura,DT-03,9.0,18.0,71.0,48.0,27.0,37.0,496.0,,617.0,,27.0,752,0,19,771,1319,0.5845337376800607
0065,gubernatura,DT-03,10.0,24.0,74.0,27.0,23.0,30.0,333.0,,410.0,,36.0,550,0,23,573,963,0.5950155763239875
0066,gubernatura,DT-03,12.0,13.0,58.0,21.0,9.0,27.0,241.0,,285.0,,26.0,396,1,3,400,669,0.5979073243647235
0067,gubernatura,DT-02,15.0,7.0,52.0,13.0,8.0,22.0,204.0,,236.0,,22.0,332,0,2,334,589,0.567062818336163
0068,gubernatura,DT-02,9.0,13.0,29.0,16.0,8.0,21.0,267.0,,308.0,,23.0,381,0,10,391,651,0.6006144393241167
0069,gubernatura,DT-02,4.0,13.0,33.0,20.0,11.0,13.0,258.0,,308.0,,17.0,371,0,14,385,619,0.6219709208400647
0070,gubernatura,DT-02,26.0,27.0,107.0,33.0,41.0,71.0,776.0,,883.0,,56.0,1117,1,13,1131,1847,0.6123443421765025
0071,gubernatura,DT-01,65.0,40.0,291.0,104.0,87.0,129.0,1629.0,,1936.0,,108.0,2464,1,71,2536,4619,0.5490365880060619
